Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1060 | 35.33333517611027 | 168.90069580078125,187.65830993652344,0.22636032104492188 | -5.295282363891602,-0.15429134666919708,-1.2586402817760245e-06 | 268.3 | 0.012657290324568748,7.441079651471227e-05,-2.4690747261047363 | -0.021443365141749382,-0.0329965315759182,-3.37544443027582e-05 | 0,0
1070 | 35.66666852682829 | 167.13441467285156,187.60690307617188,0.22635997831821442 | -5.302474021911621,-0.15513551235198975,-1.106077775148151e-06 | 268.3 | 0.010363609530031681,0.00014833065506536514,-2.8569223880767822 | -0.02197265438735485,0.022119728848338127,-1.6591166058788076e-05 | 0,0
1080 | 36.00000187754631 | 165.3656768798828,187.5574188232422,0.22635966539382935 | -5.310000419616699,-0.1379697024822235,-8.009528755792417e-07 | 268.5 | 0.010033168829977512,0.0002118909906130284,-3.4070472717285156 | -0.022902486845850945,0.07349520176649094,-1.7163272332254564e-06 | 0,0
1090 | 36.33333522826433 | 163.59437561035156,187.5155487060547,0.22635912895202637 | -5.317783832550049,-0.10519828647375107,7.628122489222733e-07 | 268.9 | 0.008129969239234924,0.0002092186186928302,-3.893434762954712 | -0.023775098845362663,0.13978755474090576,3.8903424865566194e-05 | 0,0
1100 | 36.66666857898235 | 161.82052612304688,187.48486328125,0.2263590544462204 | -5.325439453125,-0.0688290223479271,-1.8116792261935188e-06 | 269.3 | 0.015379072166979313,0.0002903903659898788,-4.055842399597168 | -0.022530553862452507,0.0821252092719078,-2.4600696633569896e-05 | 0,0
1110 | 37.000001929700375 | 160.04415893554688,187.4660186767578,0.22635909914970398 | -5.332726955413818,-0.03570964187383652,-1.4684136431242223e-06 | 269.6 | 0.01623186655342579,0.0001495924952905625,-3.960771322250366 | -0.021572111174464226,0.07323659211397171,-2.6317022275179625e-05 | 0,0
1120 | 37.333335280418396 | 158.26544189453125,187.4573974609375,0.22635912895202637 | -5.339595794677734,-0.00856958981603384,-4.767576911035576e-07 | 269.9 | 0.013427093625068665,5.2596733439713717e-05,-3.7778244018554688 | -0.020012853667140007,0.09014710783958435,5.148983291292097e-06 | 0,0
1130 | 37.66666863113642 | 156.48448181152344,187.45677185058594,0.22635917365550995 | -5.346134662628174,0.011309062130749226,-1.544694896438159e-06 | 270.1 | 0.00942263100296259,-5.240350583335385e-05,-3.5659263134002686 | -0.018410680815577507,0.11318384855985641,-2.5744913727976382e-05 | 0,0
1140 | 38.00000198185444 | 154.70401000976562,187.4616241455078,0.2263467013835907 | -5.256786346435547,0.030407577753067017,1.6400463209720328e-06 | 270.3 | -0.0018221363425254822,0.07801049202680588,-5.000431537628174 | 2.3680827617645264,0.2810942530632019,7.837895827833563e-05 | 1,7
1150 | 38.33333533257246 | 153.7594757080078,187.46815490722656,0.22437606751918793 | -0.4403040111064911,0.005519434809684753,0.0009383354336023331 | 0 | 0.015033929608762264,0.4913274943828583,-0.20795117318630219 | 14.330432891845703,-0.17829172313213348,0.006941402796655893 | 1,7
1160 | 38.66666868329048 | 153.75392150878906,187.4682159423828,0.225245401263237 | 0.0002057706005871296,-3.873847163049504e-05,0.0004985359846614301 | 0 | -0.0008639909792691469,-0.4517158269882202,3.124303839285858e-05 | -0.0005086042219772935,8.470381726510823e-05,-0.002311321906745434 | 1,7
1170 | 39.0000020340085 | 153.75436401367188,187.4682159423828,0.22567783296108246 | 6.44971732981503e-05,9.782047527551185e-07,0.0001218401885125786 | 0 | -0.00025706307496875525,-0.136689230799675,-2.329142989765387e-05 | -0.00013337920245248824,7.184867172327358e-06,-0.0003323956916574389 | 1,7
1180 | 39.333335384726524 | 153.7545166015625,187.4682159423828,0.2258177548646927 | 1.5413221262861043e-05,1.274273699891637e-07,2.9997592719155364e-05 | 0 | -0.0001142267428804189,-0.0325479581952095,-5.300483280734625e-06 | 1.2245708603586536e-05,-8.6721752268204e-07,1.2586332559294533e-05 | 1,7
1190 | 39.666668735444546 | 153.7545623779297,187.4682159423828,0.2258598655462265 | 2.5482286218903027e-06,-2.4509789753324185e-09,4.2145379666180816e-06 | 0 | 5.640688686980866e-05,-0.005486214533448219,-7.757958542242704e-07 | 3.2279829611070454e-05,1.4451385368374758e-06,1.2014292224193923e-05 | 1,7
1200 | 40.00000208616257 | 153.75457763671875,187.4682159423828,0.22587089240550995 | 1.5889904716459569e-06,3.78885083307523e-08,3.051248995689093e-06 | 0 | 1.4544989426212851e-05,-0.003297241171821952,-5.794959747618122e-07 | -7.283578725036932e-06,-1.2584982300722913e-07,6.29319356448832e-06 | 1,7
1210 | 40.33333543688059 | 153.7545928955078,187.4682159423828,0.22587352991104126 | 4.656294549931772e-07,2.158318679335025e-08,4.1954677953981445e-07 | 0 | 0.00010094526805914938,-0.0009676966001279652,-1.7008322572564794e-07 | -1.7233581957043498e-06,8.399856028518116e-07,-2.6317024094169028e-05 | 1,7
1220 | 40.66666878759861 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 1.224642147690247e-07,2.0290285007718012e-08,6.674607675449806e-07 | 0 | 0.0001352688850602135,-0.0002556697290856391,-4.592896374333577e-08 | -3.579868916858686e-07,4.5675906790165755e-07,0.0 | 1,7
1230 | 41.00000213831663 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 2.6993049573320604e-08,-6.631825755221143e-08,4.958279760103323e-07 | 0 | -2.7214377041673288e-05,-5.798841084470041e-05,-1.0517707593749037e-08 | 2.7090647947147772e-08,-3.446324626565911e-06,4.0047639231488574e-06 | 1,7
1240 | 41.33333548903465 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 7.562613646427963e-09,6.355310944172743e-08,6.293201408880122e-07 | 0 | 0.00013307432527653873,-1.2332766345934942e-05,-5.202655639635623e-09 | 2.0102291387047444e-08,1.0116381190528045e-06,-4.576873379846802e-06 | 1,7
1250 | 41.666668839752674 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 2.7135222957497263e-09,-9.787656907178643e-09,3.623358395543619e-07 | 0 | -7.983810974110384e-06,-6.004263468639692e-06,-1.0185351451141855e-09 | -3.2846456665680535e-09,-1.370307927572867e-06,1.1442178902143496e-06 | 1,7
1260 | 42.000002190470695 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 8.552302754871732e-10,1.6499399180247565e-08,2.479139880051662e-07 | 0 | 4.6699875383637846e-05,2.336627886734277e-07,-1.5906302941459671e-09 | -1.5343030668191204e-07,4.169177145740832e-07,-5.72109183849534e-06 | 1,7
1270 | 42.33333554118872 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 8.79472827897132e-10,-1.5541521847239892e-08,3.2419524131910293e-07 | 0 | 3.114644641755149e-05,-4.512010491453111e-06,3.925026970108547e-10 | 8.457387679072781e-09,2.3453930353412034e-08,1.7163281427201582e-06 | 1,7
1280 | 42.66666889190674 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 1.469515759078277e-10,-1.1404837962913916e-08,2.479139880051662e-07 | 0 | -9.454550308873877e-06,-4.361516232620488e-07,-7.43906533595684e-11 | -1.2135933369350482e-09,-3.1024221414099884e-08,2.288436689923401e-06 | 1,7
1290 | 43.00000224262476 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 5.697023408579582e-10,3.2357604595745215e-08,9.535153111528416e-08 | 0 | -1.1940521289943717e-05,1.7247863297598087e-06,-1.9408505913531826e-09 | -1.2980636654447153e-07,3.8860886775182735e-07,-5.148982381797396e-06 | 1,7
1300 | 43.33333559334278 | 153.7545928955078,187.4682159423828,0.22587458789348602 | -6.720768386259124e-09,-4.3375852243343616e-08,6.483904826382059e-07 | 0 | -4.6426554035861045e-05,1.3909602785133757e-05,-4.2443684677984095e-10 | -4.019419179712713e-07,-3.83422184313531e-06,4.004764832643559e-06 | 1,7
1310 | 43.6666689440608 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 4.420328991727729e-09,-1.388549386582838e-09,3.2419524131910293e-07 | 0 | 7.976758206496015e-05,-1.4142749932943843e-05,1.114113246103443e-09 | 1.2661149639825453e-07,-1.76894801029448e-07,-8.009527846297715e-06 | 1,7
1320 | 44.000002294778824 | 153.7545928955078,187.4682159423828,0.22587458789348602 | -2.1600511657116073e-10,-1.406298189010613e-09,4.767576911035576e-07 | 0 | -1.162151761491259e-06,4.452930397746968e-07,6.634880145295341e-11 | -1.3937999643331977e-09,-1.407307465006724e-10,2.2884373720444273e-06 | 1,7
1330 | 44.333335645496845 | 153.7545928955078,187.4682159423828,0.22587458789348602 | -1.8193908879471365e-10,-1.6827077925496425e-11,3.0512492799061874e-07 | 0 | -1.2627962675537674e-08,3.902508183273312e-07,5.614478326698702e-11 | -1.3937999643331977e-09,-1.4072616683069583e-10,2.2884369172970764e-06 | 1,7
1340 | 44.66666899621487 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 1.7456901202361763e-10,-3.0982389986888847e-09,5.7210922221884175e-08 | 0 | -3.4355346087977523e-06,-4.202118475404859e-07,-7.737883944702872e-11 | 3.5618488158917216e-09,-7.933363121992443e-08,1.1442183449617005e-06 | 1,7
1350 | 45.00000234693289 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 1.0861143096008163e-09,3.242512391921082e-08,6.674607675449806e-07 | 0 | -1.7536100131110288e-05,5.360007548915746e-07,-8.784326044342095e-10 | 3.1549554080356756e-08,1.1642017625490553e-06,1.7163272332254564e-06 | 1,7
1360 | 45.33333569765091 | 153.7545928955078,187.4682159423828,0.22587458789348602 | 8.953404129208309e-10,-4.490840144200092e-09,4.958279760103323e-07 | 0 | 4.0469640225637704e-05,-4.4165381041239016e-06,4.4593281844917954e-10 | 1.0501219449565724e-08,1.0681107198706741e-07,1.1442178902143496e-06 | 1,7
