Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
120 | 4.000000208616257 | 98.86995697021484,191.69126892089844,0.25662165880203247 | 4.889637470245361,-0.09327028691768646,0.0007697538821958005 | 91.1 | -0.008438609540462494,0.12537550926208496,-0.46515607833862305 | -0.2500104606151581,-0.045671310275793076,0.0005383556126616895 | 0,0
130 | 4.333333559334278 | 100.49053192138672,191.66268920898438,0.25670915842056274 | 4.848419189453125,-0.08667939901351929,0.0002556184190325439 | 91.0 | 0.033436119556427,-0.10400737076997757,-0.08184140920639038 | -0.018811224028468132,0.0018589942483231425,-0.0014108208706602454 | 0,0
140 | 4.6666669100522995 | 102.10969543457031,191.63438415527344,0.256343811750412 | 4.868773937225342,-0.08488278090953827,4.3289594032103196e-05 | 91.0 | -0.006120050325989723,-0.0917382761836052,-0.0005730789853259921 | 0.09497164934873581,0.003380924230441451,-0.0002820499357767403 | 0,0
150 | 5.000000260770321 | 103.73786926269531,191.60597229003906,0.2561783492565155 | 4.89578914642334,-0.08465807139873505,6.884381036798004e-06 | 91.0 | -0.0012001307914033532,-0.008730203844606876,0.018918273970484734 | 0.0581359826028347,-0.00835955049842596,5.7210920203942806e-05 | 0,0
160 | 5.333333611488342 | 105.37194061279297,191.57862854003906,0.2562296688556671 | 4.905959129333496,-0.07654061913490295,3.814061599882734e-08 | 90.9 | 0.03492649644613266,0.023214664310216904,0.19205820560455322 | 0.012688635848462582,0.02290472202003002,3.547076994436793e-05 | 0,0
170 | 5.666666962206364 | 107.00767517089844,191.55458068847656,0.25629663467407227 | 4.908713340759277,-0.06218559294939041,-1.0107263506142772e-06 | 90.7 | 0.016849098727107048,0.009898683056235313,0.37865474820137024 | 0.00905513670295477,0.039557214826345444,1.4302726413006894e-05 | 0,0
180 | 6.000000312924385 | 108.64471435546875,191.53623962402344,0.2563033699989319 | 4.914114475250244,-0.0396149642765522,8.390935590796289e-07 | 90.5 | 0.011064880527555943,-0.00388441514223814,0.608650267124176 | 0.021615026518702507,0.04344921186566353,-7.380208990070969e-05 | 0,0
190 | 6.3333336636424065 | 110.2841567993164,191.52493286132812,0.25628578662872314 | 4.9225263595581055,-0.015196938067674637,1.9833119040413294e-06 | 90.2 | 0.0283260028809309,-0.004405321087688208,0.735177755355835 | 0.026421545073390007,0.1384429931640625,0.00010641230619512498 | 0,0
200 | 6.666667014360428 | 111.926513671875,191.52053833007812,0.2562779188156128 | 4.931039810180664,0.002820811700075865,1.029796635521052e-06 | 90.0 | -0.0300091914832592,-0.0001711443328531459,0.6688485741615295 | 0.024232862517237663,0.045895494520664215,4.691295180236921e-05 | 0,0
210 | 7.000000365078449 | 113.57174682617188,191.52191162109375,0.25627344846725464 | 4.94033145904541,0.017904412001371384,-2.784264779620571e-06 | 89.8 | -0.0325470007956028,-0.002204043325036764,0.5729151964187622 | 0.029683111235499382,0.03952011093497276,-5.492247873917222e-05 | 0,0
220 | 7.333333715796471 | 115.22015380859375,191.52813720703125,0.25627124309539795 | 4.9493865966796875,0.02897959202528,-6.483904826382059e-07 | 89.7 | -0.03649574890732765,0.001051020110026002,0.45457279682159424 | 0.02501964382827282,-0.016982292756438255,-9.668646089266986e-05 | 0,0
230 | 7.666667066514492 | 116.87125396728516,191.5373077392578,0.25627946853637695 | 4.956631183624268,0.03319680318236351,-9.535153822071152e-07 | 89.6 | -0.05860046669840813,0.0022396943531930447,0.2737458646297455 | 0.02078532986342907,-0.06659667193889618,-4.9773501814343035e-05 | 0,0
240 | 8.000000417232513 | 118.52458953857422,191.54823303222656,0.2562866508960724 | 4.96305513381958,0.03765571117401123,-1.3349215066682518e-07 | 89.6 | 0.013731495477259159,0.0010595943313091993,0.1983434110879898 | 0.01959800533950329,0.02682611159980297,-6.293201295193285e-06 | 0,0
250 | 8.333333767950535 | 120.18016052246094,191.56028747558594,0.25628596544265747 | 4.970033168792725,0.038614656776189804,1.353991819996736e-06 | 89.6 | 0.005356582347303629,-0.0007683626026846468,0.09876848757266998 | 0.021486280485987663,0.03625362738966942,8.98211364983581e-05 | 0,0
260 | 8.666667118668556 | 121.83811950683594,191.57284545898438,0.2562834918498993 | 4.977336406707764,0.03832092136144638,1.487483928030997e-06 | 89.6 | -0.005869085434824228,-0.0005654818960465491,0.038061514496803284 | 0.022058485075831413,-0.0013188644079491496,4.5768731069983914e-05 | 0,0
270 | 9.000000469386578 | 123.4985122680664,191.58560180664062,0.25628232955932617 | 4.984617710113525,0.038139913231134415,-2.898686716434895e-06 | 89.6 | -0.0001541805249871686,-3.945190837839618e-05,0.011010834015905857 | 0.021729467436671257,0.0032113862689584494,-0.00015790213365107775 | 0,0
280 | 9.333333820104599 | 125.1612777709961,191.59811401367188,0.2562839090824127 | 4.991532802581787,0.03770895302295685,1.926101049321005e-06 | 89.6 | 0.0006729658343829215,0.0005088425823487341,-0.003962339833378792 | 0.020456312224268913,-0.00019535420869942755,-5.3778261644765735e-05 | 0,0
290 | 9.66666717082262 | 126.82630920410156,191.61065673828125,0.25628504157066345 | 4.998310565948486,0.038094449788331985,1.0679372053346015e-06 | 89.6 | 0.00772905396297574,0.00012389649054966867,0.008519434370100498 | 0.020756719633936882,0.0036707145627588034,1.7163255279228906e-06 | 0,0
300 | 10.000000521540642 | 128.4877166748047,191.6769256591797,0.2565035820007324 | 4.9085798263549805,0.6829516291618347,-0.0011053340276703238 | 82.1 | 6.551671028137207,0.5486903190612793,15.230012893676758 | -1.5699290037155151,6.361453533172607,0.007021498866379261 | 0,0
310 | 10.333333872258663 | 129.96307373046875,192.140380859375,0.2600601017475128 | 3.5304982662200928,2.818225145339966,-0.0043020895682275295 | 51.4 | 7.778590202331543,3.969999313354492,58.6713981628418 | -8.381988525390625,7.41506290435791,-0.019689131528139114 | 0,0
320 | 10.666667222976685 | 130.92344665527344,193.14630126953125,0.261631041765213 | 1.8837946653366089,4.341380596160889,0.0006355942459776998 | 23.5 | -0.5848768353462219,-0.7731031775474548,71.59781646728516 | -4.7595367431640625,3.5602710247039795,0.01080084778368473 | 0,0
330 | 11.000000573694706 | 131.42430114746094,194.55218505859375,0.2614063322544098 | -0.05488961189985275,5.029703140258789,0.0003314228670205921 | 359.4 | -0.13852271437644958,0.062227215617895126,75.9482192993164 | -6.517623424530029,0.5715464949607849,-0.0032272683456540108 | 0,0
340 | 11.333333924412727 | 131.73348999023438,196.20516967773438,0.25842925906181335 | 0.9791909456253052,5.107776165008545,0.0015967186773195863 | 10.9 | -1.570508599281311,-7.271353244781494,11.196481704711914 | 1.5734087228775024,-1.046690821647644,-0.058287620544433594 | 0,0
350 | 11.666667275130749 | 132.0753936767578,197.84500122070312,0.25738418102264404 | 0.6256864666938782,4.930075168609619,-0.0017574240919202566 | 7.2 | 1.2970545291900635,5.2358717918396,13.527446746826172 | -4.952369689941406,0.2936553657054901,0.03915858641266823 | 0,0
360 | 12.00000062584877 | 132.24960327148438,199.49302673339844,0.2565646767616272 | 0.10218475759029388,5.00681734085083,0.00031612851307727396 | 1.2 | 0.2945491671562195,0.6074626445770264,17.009489059448242 | -0.834774911403656,0.29635903239250183,-0.0005623828619718552 | 0,0
370 | 12.333333976566792 | 132.30996704101562,201.16546630859375,0.25701847672462463 | 0.014523282647132874,5.003329277038574,-0.013094769790768623 | 0.2 | -0.22267600893974304,-0.004576960112899542,8.119596481323242 | -0.6905070543289185,-0.49040791392326355,-0.4003737270832062 | 0,0
380 | 12.666667327284813 | 132.33338928222656,202.84019470214844,0.256886750459671 | -0.03357183560729027,5.0290327072143555,0.0028025151696056128 | 359.6 | 0.08019540458917618,-0.049601856619119644,4.6248064041137695 | -0.4686780571937561,0.4335307776927948,-0.052056219428777695 | 0,0
